# EV CHARGING DATABASE — EU+US 2024/2025
# Format: Region|Type|Model|Year|Battery(kWh)|AC_kW|DC_kW|Plug|Autocharge:Y/N/P/?|Emergency:…
# Autocharge: Y=yes N=no P=partial ?=unknown | Type: BEV=Battery Electric PHEV=Plug-in Hybrid | '-'=data unavailable

## ABARTH
EU|BEV|500e|2024|42.2kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|600e Scorpionissima|2024|54kWh|AC:7kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|500e Convertible|2024|42.2kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|600e Turismo|2024|54kWh|AC:7kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|500e Scorpionissima|2024|42.2kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## ACURA
US|BEV|ZDX AWD|2024|119.2kWh|AC:11.5kW|DC:190kW|CCS1 + J1772|Autocharge:P|Emergency:Ultium-Plattform: Notentriegelung nicht öffentlich dokumentiert. Fahrzeug ent-/verriegeln versuchen, Ladevorgang über Display stoppen. Bei weiterhin blockiertem Kabel: Acura Pannendienst (1-800-594-8500).
US|BEV|ZDX RWD|2024|119.2kWh|AC:11.5kW|DC:190kW|CCS1 + J1772|Autocharge:P|Emergency:Ultium-Plattform: Notentriegelung nicht öffentlich dokumentiert. Fahrzeug ent-/verriegeln versuchen, Ladevorgang über Display stoppen. Bei weiterhin blockiertem Kabel: Acura Pannendienst (1-800-594-8500).
## AIWAYS
EU|BEV|U6|2024|63kWh|AC:11kW|DC:90kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|U5|2024|63kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## ALFA ROMEO
