Manufacturer,Model,Model Year,Battery Capacity kWh,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Plug Type,Autocharge Support,Emergency Release Location,Plug Type Source,Autocharge Support Source,Emergency Release Location Source,Region,Vehicle Type
MG,MG4 Electric,2024,64.0,6.6,142.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Dokumentation begrenzt - Pannendienst kontaktieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,MG4/5/EV Technical Specification | EV-Database EU Coverage | Limited charging network partnerships,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BMW,iX3 50,2024,108.7,11.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Kofferraum rechte Seite: Verkleidung abnehmen, Notentriegelungshebel",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW iX Betriebsanleitung | BMW Service Portal | EV-Database Instructions,EU,BEV
BMW,iX,2024,71.0,11.0,148.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Kofferraum rechte Seite: Verkleidung abnehmen, Notentriegelungshebel",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW iX Betriebsanleitung | BMW Service Portal | EV-Database Instructions,EU,BEV
Fiat,500e,2024,42.0,11.0,85.0,Type 2 + CCS2,Nein | Netzwerke: N/A,500e: Kofferraum - ähnlich Peugeot,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,EV-Database EU Reference | EU Charging Network Documentation | Manufacturer Owner Manual,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
CUPRA,Born,2024,58.0,7.2,150.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Wahrscheinlich VW MEB: Kofferraum Beifahrerseite,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,CUPRA Born/Formentor e Technical Docs | VW Group Charging Infrastructure | NewMotion Partnership,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Mercedes-Benz,CLA 250+,2024,85.0,11.0,170.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volvo,EX60 P12,2024,112.0,22.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (neuere Modelle) | Netzwerke: Electrify Europe, Ionity","Kofferraum links: Kappe abhebeln, Hebel darunter ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Volvo XC40 Recharge Owner Manual | Volvo Charging Integration | EU Charging Network Partnerships,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Tesla,Model Y,2024,75.0,11.0,250.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs,Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),Tesla Model Y Owner Manual EU | Tesla Service Portal,EU,BEV
Tesla,Model 3,2024,60.0,11.0,175.0,NACS (Berlin Giga) / Type 2 mit Adapter,Teilweise - NACS Adapter für EU Type 2 | Netzwerke: Tesla Supercharger (mit Adapter),"Kofferraum: Oranges Notentriegelungskabel, oder Touchscreen Service",Tesla Berlin Gigafactory Specifications | Tesla EU NACS Adapter Documentation | Tesla Supercharger EU Network Docs,Tesla Model 3/Y/S/X EU Owner Manual | Tesla Supercharger Network EU | Type 2 Adapter for older models | Shell Recharge Partnership (Roadster),Tesla Model 3 Owner Manual EU | Tesla Service Center Documentation,EU,BEV
Kia,EV3,2024,78.0,11.0,135.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Kia EV6/EV9 Technical Documentation | Kia Charging Services | Ionity High-Speed Charging | Shell Recharge EU Network,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BYD,ATTO,2024,60.5,11.0,110.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Dokumentation begrenzt - Hersteller kontaktieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BYD Yuan Plus/Seagull EU Documentation | Limited EU charging network integration,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Škoda,Elroq,2024,77.0,11.0,175.0,Type 2 + CCS2,"Partiell - ab MY2023 | Netzwerke: Electrify Europe, Ionity","MEB-Plattform: Kofferraum Beifahrerseite, gelbe Schlaufe",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,EV-Database EU Reference | EU Charging Network Documentation | Manufacturer Owner Manual,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Leapmotor,B10,2024,67.1,11.0,168.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Chinesischer Hersteller - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Renault,5 E-Tech,2024,52.0,11.0,101.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Mercedes-Benz,GLC 400 4MATIC,2024,94.0,11.0,330.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BYD,7,2024,91.3,11.0,230.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Dokumentation begrenzt - Hersteller kontaktieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BYD Yuan Plus/Seagull EU Documentation | Limited EU charging network integration,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Fiat,Grande Panda,2024,43.8,7.4,97.0,Type 2 + CCS2,Nein | Netzwerke: N/A,500e: Kofferraum - ähnlich Peugeot,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,EV-Database EU Reference | EU Charging Network Documentation | Manufacturer Owner Manual,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Kia,Niro EV,2024,64.8,11.0,94.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Kia EV6/EV9 Technical Documentation | Kia Charging Services | Ionity High-Speed Charging | Shell Recharge EU Network,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Changan,Deepal S05,2024,68.0,11.0,200.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
